@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionOutdoors numeric
@attribute normal {true,false}

@data
2015-11-25T23:27:42,0,0,0,0,true
2015-11-25T23:27:43,0,0,0,0,true
2015-11-25T23:27:43,0,0,0,0,true
2015-11-25T23:27:43,0,0,0,0,true
2015-11-25T23:27:43,0,0,0,0,true
2015-11-25T23:27:43,0,0,0,0,true
2015-11-25T23:27:43,0,0,0,0,true
2015-11-25T23:27:43,0,1,0,0,true
2015-11-25T23:27:44,0,0,0,0,true
2015-11-25T23:27:44,0,0,0,0,true
2015-11-25T23:27:44,0,0,0,0,true
2015-11-25T23:27:44,0,0,0,0,true
2015-11-25T23:27:44,0,0,0,0,true
2015-11-25T23:27:44,0,0,0,0,true
2015-11-25T23:27:44,0,1,0,0,true
2015-11-25T23:27:45,0,0,0,0,true
2015-11-25T23:27:45,0,0,0,0,true
2015-11-25T23:27:45,0,0,0,0,true
2015-11-25T23:27:45,0,0,0,0,true
2015-11-25T23:27:45,0,0,0,0,true
2015-11-25T23:27:45,0,0,0,0,true
2015-11-25T23:27:45,0,1,0,0,true
2015-11-25T23:27:46,0,0,0,0,true
2015-11-25T23:27:46,0,0,0,0,true
2015-11-25T23:27:46,0,0,0,0,true
2015-11-25T23:27:46,0,0,0,0,true
2015-11-25T23:27:46,0,0,0,0,true
2015-11-25T23:27:46,0,0,0,0,true
2015-11-25T23:27:46,0,1,0,0,true
2015-11-25T23:27:47,0,0,0,0,true
2015-11-25T23:27:47,0,0,0,0,true
2015-11-25T23:27:47,0,0,0,0,true
2015-11-25T23:27:47,0,0,0,0,true
2015-11-25T23:27:47,0,0,0,0,true
2015-11-25T23:27:47,0,0,0,0,true
2015-11-25T23:27:47,0,1,0,0,true
2015-11-25T23:27:47,0,0,0,0,true
2015-11-25T23:27:48,0,0,0,0,true
2015-11-25T23:27:48,0,0,0,0,true
2015-11-25T23:27:48,0,0,0,0,true
2015-11-25T23:27:48,0,0,0,0,true
2015-11-25T23:27:48,0,0,0,0,true
2015-11-25T23:27:48,0,0,0,0,true
2015-11-25T23:27:48,0,1,0,0,true
2015-11-25T23:27:49,0,0,0,0,true
2015-11-25T23:27:49,0,0,0,0,true
2015-11-25T23:27:49,0,0,0,0,true
2015-11-25T23:27:49,0,0,0,0,true
2015-11-25T23:27:49,0,0,0,0,true
2015-11-25T23:27:49,0,0,0,0,true
2015-11-25T23:27:49,0,1,0,0,true
2015-11-25T23:27:50,0,0,0,0,true
2015-11-25T23:27:50,0,0,0,0,true
2015-11-25T23:27:50,0,0,0,0,true
2015-11-25T23:27:50,0,0,0,0,true
2015-11-25T23:27:50,0,0,0,0,true
2015-11-25T23:27:50,0,0,0,0,true
2015-11-25T23:27:50,0,1,0,0,true
2015-11-25T23:27:51,0,0,0,0,true
2015-11-25T23:27:51,0,0,0,0,true
2015-11-25T23:27:51,0,0,0,0,true
2015-11-25T23:27:51,0,0,0,0,true
2015-11-25T23:27:51,0,0,0,0,true
2015-11-25T23:27:51,0,0,0,0,true
2015-11-25T23:27:51,0,1,0,0,true
2015-11-25T23:27:52,0,0,0,0,true
2015-11-25T23:27:52,0,0,0,0,true
2015-11-25T23:27:52,0,0,0,0,true
2015-11-25T23:27:52,0,0,0,0,true
2015-11-25T23:27:52,0,0,0,0,true
2015-11-25T23:27:52,0,0,0,0,true
2015-11-25T23:27:52,0,1,0,0,true
2015-11-25T23:27:52,0,0,0,0,true
2015-11-25T23:27:53,0,0,0,0,true
2015-11-25T23:27:53,0,0,0,0,true
2015-11-25T23:27:53,0,0,0,0,true
2015-11-25T23:27:53,0,0,0,0,true
2015-11-25T23:27:53,0,0,0,0,true
2015-11-25T23:27:53,0,0,0,0,true
2015-11-25T23:27:53,0,1,0,0,true
2015-11-25T23:27:54,0,0,0,0,true
2015-11-25T23:27:54,0,0,0,0,true
2015-11-25T23:27:54,0,0,0,0,true
2015-11-25T23:27:54,0,0,0,0,true
2015-11-25T23:27:54,0,0,0,0,true
2015-11-25T23:27:54,0,0,0,0,true
2015-11-25T23:27:54,0,1,0,0,true
2015-11-25T23:27:55,0,0,0,0,true
2015-11-25T23:27:55,0,0,0,0,true
2015-11-25T23:27:55,0,0,0,0,true
2015-11-25T23:27:55,0,0,0,0,true
2015-11-25T23:27:55,0,0,0,0,true
2015-11-25T23:27:55,0,0,0,0,true
2015-11-25T23:27:55,0,1,0,0,true
2015-11-25T23:27:56,0,0,0,0,true
2015-11-25T23:27:56,0,0,0,0,true
2015-11-25T23:27:56,0,0,0,0,true
2015-11-25T23:27:56,0,0,0,0,true
2015-11-25T23:27:56,0,0,0,0,true
2015-11-25T23:27:56,0,0,0,0,true
2015-11-25T23:27:56,0,1,0,0,true
2015-11-25T23:27:57,0,0,0,0,true
2015-11-25T23:27:57,0,0,0,0,true
2015-11-25T23:27:57,0,0,0,0,true
2015-11-25T23:27:57,0,0,0,0,true
2015-11-25T23:27:57,0,0,0,0,true
2015-11-25T23:27:57,0,0,0,0,true
2015-11-25T23:27:57,0,1,0,0,true
2015-11-25T23:27:57,0,0,0,0,true
2015-11-25T23:27:58,0,0,0,0,true
2015-11-25T23:27:58,0,0,0,0,true
2015-11-25T23:27:58,0,0,0,0,true
2015-11-25T23:27:58,0,0,0,0,true
2015-11-25T23:27:58,0,0,0,0,true
2015-11-25T23:27:58,0,0,0,0,true
2015-11-25T23:27:58,0,1,0,0,true
2015-11-25T23:27:59,0,0,0,0,true
2015-11-25T23:27:59,0,0,0,0,true
2015-11-25T23:27:59,0,0,0,0,true
2015-11-25T23:27:59,0,0,0,0,true
2015-11-25T23:27:59,0,0,0,0,true
2015-11-25T23:27:59,0,0,0,0,true
2015-11-25T23:27:59,0,1,0,0,true
2015-11-25T23:28:00,0,0,0,0,true
2015-11-25T23:28:00,0,0,0,0,true
2015-11-25T23:28:00,0,0,0,0,true
2015-11-25T23:28:00,0,0,0,0,true
2015-11-25T23:28:00,0,0,0,0,true
2015-11-25T23:28:00,0,0,0,0,true
2015-11-25T23:28:00,0,1,0,0,true
2015-11-25T23:28:01,0,0,0,0,true
2015-11-25T23:28:01,0,0,0,0,true
2015-11-25T23:28:01,0,0,0,0,true
2015-11-25T23:28:01,0,0,0,0,true
2015-11-25T23:28:01,0,0,0,0,true
2015-11-25T23:28:01,0,0,0,0,true
2015-11-25T23:28:01,0,1,0,0,true
