@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionOutdoors numeric
@attribute normal {true,false}

@data
2015-11-27T17:07:16,0,0,0,0,true
2015-11-27T17:07:17,0,0,0,0,true
2015-11-27T17:07:17,0,0,0,0,true
2015-11-27T17:07:17,0,0,0,0,true
2015-11-27T17:07:17,0,0,0,0,true
2015-11-27T17:07:17,0,0,0,0,true
2015-11-27T17:07:17,0,0,0,0,true
2015-11-27T17:07:17,0,1,0,0,true
2015-11-27T17:07:17,0,0,0,0,true
2015-11-27T17:07:18,0,0,0,0,true
2015-11-27T17:07:18,0,0,0,0,true
2015-11-27T17:07:18,0,0,0,0,true
2015-11-27T17:07:18,0,0,0,0,true
2015-11-27T17:07:18,0,0,0,0,true
2015-11-27T17:07:18,0,0,0,0,true
2015-11-27T17:07:18,0,1,0,0,true
2015-11-27T17:07:18,0,0,0,0,true
2015-11-27T17:07:19,0,0,0,0,true
2015-11-27T17:07:19,0,0,0,0,true
2015-11-27T17:07:19,0,0,0,0,true
2015-11-27T17:07:19,0,0,0,0,true
2015-11-27T17:07:19,0,0,0,0,true
2015-11-27T17:07:19,0,0,0,0,true
2015-11-27T17:07:19,0,1,0,0,true
2015-11-27T17:07:19,0,0,0,0,true
2015-11-27T17:07:20,0,0,0,0,true
2015-11-27T17:07:20,0,0,0,0,true
2015-11-27T17:07:20,0,0,0,0,true
2015-11-27T17:07:20,0,0,0,0,true
2015-11-27T17:07:20,0,0,0,0,true
2015-11-27T17:07:20,0,0,0,0,true
2015-11-27T17:07:20,0,1,0,0,true
2015-11-27T17:07:20,0,0,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:21,0,1,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:21,0,0,0,0,true
2015-11-27T17:07:22,0,0,0,0,true
2015-11-27T17:07:22,0,0,0,0,true
2015-11-27T17:07:22,0,0,0,0,true
2015-11-27T17:07:22,0,0,0,0,true
2015-11-27T17:07:22,0,0,0,0,true
2015-11-27T17:07:22,0,0,0,0,true
2015-11-27T17:07:22,0,1,0,0,true
2015-11-27T17:07:22,0,0,0,0,true
2015-11-27T17:07:23,0,0,0,0,true
2015-11-27T17:07:23,0,0,0,0,true
2015-11-27T17:07:23,0,0,0,0,true
2015-11-27T17:07:23,0,0,0,0,true
2015-11-27T17:07:23,0,0,0,0,true
2015-11-27T17:07:23,0,0,0,0,true
2015-11-27T17:07:23,0,1,0,0,true
2015-11-27T17:07:23,0,0,0,0,true
2015-11-27T17:07:24,0,0,0,0,true
2015-11-27T17:07:24,0,0,0,0,true
2015-11-27T17:07:24,0,0,0,0,true
2015-11-27T17:07:24,0,0,0,0,true
2015-11-27T17:07:24,0,0,0,0,true
2015-11-27T17:07:24,0,0,0,0,true
